DATES,POLLSTER,SAMPLE,SAMPLE_AUDIENCE,WEIGHT,NELSON,SCOTT,MARGIN,
SEP 19-24,Cherry Communications ,622,LV,0.11,48%,46%,D+2.0,
SEP 16-20,Marist College,600,LV,0.02,48%,45%,D+3.0,
SEP 17-19,University of North Florida,603,LV,0.02,45%,45%,EVEN,
SEP 13-16,Florida Atlantic University,850,LV,0.02,41%,42%,R+1.0,
SEP 5-12,Ipsos,"1,000",LV,0.02,45%,46%,R+1.4,
SEP 10-11,Rasmussen Reports/Pulse Opinion Research,800,LV,0.09,45%,44%,D+1.0,
SEP 7-9,SurveyUSA,634,LV,0.01,44%,46%,R+2.0,
AUG 30-SEP 3,Quinnipiac University,785,LV,0,49%,49%,EVEN,
AUG 29-30,Gravis Marketing,"1,225",RV,0,47%,47%,EVEN,
AUG 29-30,Public Policy Polling,743,V,0.01,46%,45%,D+1.0,
AUG 29-30,St. Pete Polls,"1,755",LV,0,47%,47%,D+0.1,
AUG 16-20,Florida Atlantic University,800,RV,0,39%,45%,R+6.0,
AUG 10-16,Saint Leo University,500,A,0,36%,40%,R+4.6,
JUL 24-25,"Mason-Dixon Polling & Research, Inc.",625,LV,0,44%,47%,R+3.0,
JUL 20-21,Florida Atlantic University,800,RV,0,40%,44%,R+4.0,
JUL 13-14,Gravis Marketing,"1,840",LV,0,47%,43%,D+4.0,
JUN 11-JUL 2,SurveyMonkey,990,LV,0,45%,52%,R+6.2,
JUN 19-22,YouGov,839,LV,0,41%,46%,R+5.0,
JUN 17-21,Marist College,947,RV,0,49%,45%,D+4.0,
JUN 18-19,Public Policy Polling,"1,308",V,0,48%,46%,D+2.0,
MAY 31-JUN 15,Gravis Marketing,"1,251",LV,0,50%,40%,D+10.0,
MAY 25-JUN 4,Cherry Communications ,605,LV,0,45%,48%,R+3.0,
MAY 25-31,Saint Leo University,506,A,0,34%,40%,R+5.1,
MAY 29-30,Morning Consult,"1,199",V,0,39%,40%,R+1.0,
MAY 4-7,Florida Atlantic University,728,LV,0,45%,45%,EVEN,
APR 10-11,Public Policy Polling,661,V,0,50%,44%,D+6.0,
FEB 26-MAR 19,Gravis Marketing,"2,212",LV,0,44%,40%,D+4.0,
MAR 10-13,McLaughlin & Associates ,800,LV,0,46%,47%,R+1.0,
MAR 1-7,Clearview Research,750,LV,0,41%,43%,R+2.0,
FEB 12-MAR 5,SurveyMonkey,"1,806",RV,0,53%,43%,D+10.0,
FEB 23-26,Quinnipiac University,"1,156",V,0,46%,42%,D+4.0,
FEB 23-25,Florida Atlantic University,800,RV,0,40%,38%,D+2.0,
FEB 18-24,Saint Leo University,500,A,0,35%,42%,R+6.4,
FEB 1-18,Gravis Marketing,"1,978",RV,0,44%,40%,D+4.0,
FEB 1-4,Florida Atlantic University,750,RV,0,34%,44%,R+10.0,
JAN 29-FEB 4,University of North Florida,429,LV,0,48%,42%,D+6.0,
JAN 30-FEB 1,"Mason-Dixon Polling & Research, Inc.",625,RV,0,45%,44%,D+1.0,
DEC 19-24,Gravis Marketing,"5,778",RV,0,44%,39%,D+5.0,
NOV 19-24,Saint Leo University,500,A,0,32%,42%,R+10.2,
